Feature,p-value,p_bonf,p_fdr,bonf_reject,fdr_reject
Fachbegriffe,3.602764537713225e-10,5.043870352798515e-09,5.043870352798515e-09,True,True
falsch verwendete Fachbegriffe,0.6547208460185769,1.0,0.7050839880200059,False,False
Körperteile,0.15331142854954363,1.0,0.2710046942435066,False,False
falsch verwendete Körperteile,0.28504940740261275,1.0,0.4434101892929531,False,False
Verben,0.5207831481486229,1.0,0.6075803395067267,False,False
falsch verwendete Verben,0.06188375105213765,0.866372514729927,0.17327450294598543,False,False
Adjektive,0.15485982528200376,1.0,0.2710046942435066,False,False
Präposition,0.3406551367011379,1.0,0.47691719138159305,False,False
falsch verwendete Präposition,0.0022090203462313877,0.030926284847239426,0.007731571211809857,True,True
Anzahl der Wörter,0.8541350318677678,1.0,0.8541350318677678,False,False
Anzahl Sätze,0.390047862313178,1.0,0.49642455203495384,False,False
Vollständige Sätze,0.08356564983357526,1.0,0.19498651627834226,False,False
Text sachlich,1.1933310815418253e-05,0.00016706635141585554,8.353317570792777e-05,True,True
Text vollständig,0.0005653339379509726,0.007914675131313617,0.002638225043771206,True,True
